Temperature,Humidity,Wind Speed,Wind Bearing,Visibility,Pressure,Disease,Disease in number
24.6,63,4.9,260,9.4,1015.5,Late Blight,0
18.8,82,3.7,85,11.9,1014.5,Early Blight,1
26.5,58,7.8,330,9.1,1014.8,Late Blight,0
19.9,76,3.6,105,11.3,1015.3,Early Blight,1
23.9,68,2.9,220,9.5,1013.9,Late Blight,0
22.2,73,4.2,150,10.6,1015.7,Early Blight,1
25.5,62,5.5,280,8.7,1016.2,Late Blight,0
20.3,79,3.4,115,11.4,1014.9,Early Blight,1
27.8,57,8.3,340,9.2,1015.1,Late Blight,0
21.7,74,5.1,170,10.4,1015.9,Early Blight,1
24.9,64,4.8,250,9.6,1015.3,Late Blight,0
18.5,83,2.5,75,12.2,1014.3,Early Blight,1
26.8,60,7.6,320,9.3,1015.2,Late Blight,0
19.5,78,3.5,100,11.2,1015.2,Early Blight,1
23.3,66,2.3,210,8.9,1014.2,Late Blight,0
21.1,70,5,160,10.2,1015.3,Early Blight,1
23.8,62,6.3,240,9.1,1016.5,Late Blight,0
20.5,76,3.5,105,11,1014.7,Early Blight,1
25.7,59,7.6,300,8.8,1014.8,Late Blight,0
19.9,78,4.7,90,12.4,1015.9,Early Blight,1
22.5,66,2.3,190,9.3,1013.8,Late Blight,0
22,68,4.9,170,10.1,1015,Early Blight,1
24.3,63,5.8,220,8.7,1016.1,Late Blight,0
21.8,71,3.2,135,10.6,1014.8,Early Blight,1
26.1,58,8,280,9,1015.1,Late Blight,0
19.6,77,5.2,80,11.8,1015.6,Early Blight,1
23,64,4.1,200,9.5,1014.1,Late Blight,0
22.7,67,4.4,150,10.4,1015.2,Early Blight,1
24.5,62,5.5,235,8.5,1016.3,Late Blight,0
20.2,73,3,115,10.8,1014.9,Early Blight,1
25.3,60,7.2,290,8.9,1014.7,Late Blight,0
19.7,78,4.9,85,12,1015.7,Early Blight,1
22.8,66,2.5,180,9.2,1013.9,Late Blight,0
21.5,69,4.7,165,10.3,1015.1,Early Blight,1
24,63,5.1,225,8.6,1016.2,Late Blight,0
21.2,72,3.7,125,10.5,1014.6,Early Blight,1
25.8,58,8.5,270,9.1,1015,Late Blight,0
19.4,79,5.4,75,12.2,1015.5,Early Blight,1
22.2,65,3.8,195,9.4,1013.7,Late Blight,0
22.1,68,4.6,155,10.2,1015.1,Early Blight,1
24.8,61,5.9,230,8.4,1016.4,Late Blight,0
20.1,74,2.8,110,10.9,1014.7,Early Blight,1
25.1,61,6.8,285,8.8,1014.6,Late Blight,0
19.5,77,4.4,95,11.7,1015.8,Early Blight,1
18.7,77,6.9,63,11,1015.5,Early Blight,1
23.4,64,4.6,137,8.9,1017,Late Blight,0
20.1,72,3.2,188,10,1014.8,Early Blight,1
25.6,61,7.1,282,9.6,1015.2,Late Blight,0
19.5,78,5.5,104,12.5,1016.1,Early Blight,1
22.2,65,2.8,200,9.1,1013.9,Late Blight,0
18.9,75,4.3,87,10.3,1015.9,Early Blight,1
24.1,68,6.2,225,8.2,1016.7,Late Blight,0
21.3,73,3.9,152,10.6,1015.3,Early Blight,1
24.9,62,5.9,315,9.8,1014.3,Late Blight,0
20.8,71,4.1,105,11.2,1015.1,Early Blight,1
23.2,66,7.5,243,8.7,1014.2,Late Blight,0
19.4,79,6.1,71,11.4,1016.5,Early Blight,1
25.4,63,4.8,182,9.5,1014.1,Late Blight,0
22.7,67,3.4,167,10.4,1014.9,Early Blight,1
26.5,59,6.8,292,8.5,1015.6,Late Blight,0
21.9,70,5.3,126,11.3,1016.3,Early Blight,1
24.6,64,2.5,212,9,1014.6,Late Blight,0
19.2,80,4.9,95,12,1016,Early Blight,1
26.3,58,8.1,278,9.2,1015.1,Late Blight,0
20.5,74,3.1,174,10.8,1015.7,Early Blight,1
23.8,66,6.3,240,8.4,1014.4,Late Blight,0
18.6,76,4.4,80,11.2,1016.4,Early Blight,1
22.8,69,7,252,9.4,1014.8,Late Blight,0
20.7,72,5.2,118,11.1,1015.4,Early Blight,1
25.1,62,3.3,301,9.7,1013.8,Late Blight,0
21.5,73,6,143,10.5,1016.2,Early Blight,1
24.2,67,4.5,228,8.8,1015,Late Blight,0
19.7,78,2.9,95,12.9,1017.1,Early Blight,1
20.5,70,5,180,10,1016,Early Blight,1
23.2,68,7.1,235,8.7,1015.2,Late Blight,0
21.1,74,3.5,120,11.3,1014.6,Early Blight,1
24.6,63,9.1,305,9.1,1015.5,Late Blight,0
20.8,75,4.7,100,12.4,1016.3,Early Blight,1
23.4,66,2.3,210,9.3,1013.9,Late Blight,0
19.9,76,3.2,122,11.2,1014.9,Early Blight,1
26.2,61,8.3,302,9.6,1015,Late Blight,0
21.6,73,4.9,95,12.1,1015.7,Early Blight,1
22.8,67,2.9,200,9.5,1013.8,Late Blight,0
22.1,70,4.6,115,11,1015.4,Early Blight,1
25.4,62,6.5,280,9.8,1014.8,Late Blight,0
20.6,74,3.7,125,11.4,1014.5,Early Blight,1
23.9,65,2.4,215,9.4,1014.1,Late Blight,0
21.3,72,4.3,105,12.2,1015.6,Early Blight,1
24.8,64,8.2,300,9.2,1015.1,Late Blight,0
20.9,76,4.8,98,12.3,1016.2,Early Blight,1
23.1,68,2.2,225,9.1,1013.7,Late Blight,0
21,73,3.6,130,11.1,1014.7,Early Blight,1
26.3,60,7.4,310,9.7,1015.3,Late Blight,0
21.5,71,4.5,110,11.5,1015.8,Early Blight,1
22.7,68,2.8,190,9.6,1014,Late Blight,0
20.4,75,3.4,128,11.5,1014.8,Early Blight,1
25.3,63,5.8,275,9.9,1015,Late Blight,0
21.7,72,4.8,97,12.2,1016.1,Early Blight,1
23.6,66,2.1,220,9.2,1013.6,Late Blight,0
19.8,77,3.1,123,11.3,1014.9,Early Blight,1
26,61,8.6,298,9.5,1015.1,Late Blight,0
21.9,70,4.4,112,11.4,1015.5,Early Blight,1
20.3,75,6.2,120,11.2,1015.1,Early Blight,1
23.7,63,5.8,240,9.6,1017.2,Late Blight,0
22.1,70,4.1,155,10.5,1014.9,Early Blight,1
26.4,57,8.6,305,9.2,1015.3,Late Blight,0
19.9,78,5.3,105,12,1016,Early Blight,1
24.1,66,3.9,200,9.4,1014.5,Late Blight,0
20.5,72,5.5,140,11.3,1015.2,Early Blight,1
25.3,60,6.4,285,8.8,1015.8,Late Blight,0
19.5,76,4.8,95,12.5,1016.5,Early Blight,1
23.2,65,2.6,220,9,1013.8,Late Blight,0
21.8,71,3.8,150,10.7,1014.6,Early Blight,1
25.6,59,7.2,315,8.6,1016.3,Late Blight,0
20.1,74,4.3,125,11.1,1015.3,Early Blight,1
23.9,64,5.2,235,9.7,1017.1,Late Blight,0
22.4,69,4,165,10.4,1015,Early Blight,1
26.8,56,9.2,305,9.1,1015.7,Late Blight,0
19.7,77,5,110,12.2,1016.2,Early Blight,1
24.6,63,3.7,195,9.3,1014.2,Late Blight,0
21.5,72,5,135,11.5,1015.4,Early Blight,1
25.9,58,7.9,295,8.7,1016.5,Late Blight,0
19.3,79,4.6,90,12.7,1016.8,Early Blight,1
23.4,66,2.8,230,8.8,1013.9,Late Blight,0
21.2,73,4.2,145,10.9,1014.8,Early Blight,1
26.1,61,8,310,9,1015.6,Late Blight,0
20.7,74,4.9,130,11.2,1015,Early Blight,1
24.2,64,5.7,250,9.5,1016.9,Late Blight,0
22.8,68,3.6,175,10.3,1014.7,Early Blight,1
27.2,55,9.8,300,9,1015.9,Late Blight,0
19.9,76,5.2,100,12.3,1016.1,Early Blight,1
20.2,72,5.1,168,10,1015.5,Early Blight,1
24.5,65,7.2,245,8.9,1016.2,Late Blight,0
19.8,76,3.3,120,11.1,1014.8,Early Blight,1
26.1,60,8.4,305,9.4,1014.9,Late Blight,0
21.2,75,4.9,100,12.3,1015.8,Early Blight,1
23.7,67,2.1,214,9.2,1014,Late Blight,0
18.9,80,4.5,80,10.5,1014.2,Early Blight,1
25.3,62,6.1,295,8.3,1015.6,Late Blight,0
20.6,74,3.9,146,10.8,1016.1,Early Blight,1
24.8,66,7.8,233,8.5,1015.1,Late Blight,0
18.2,78,5.2,65,11.2,1015.9,Early Blight,1
22.8,68,2.3,182,9.6,1013.8,Late Blight,0
19.4,75,4.3,103,10.9,1014.7,Early Blight,1
23.1,66,5.9,247,8.8,1016.4,Late Blight,0
21.3,73,2.8,199,11.3,1013.7,Early Blight,1
25.7,61,8.1,298,8,1016.3,Late Blight,0
20.9,71,3.6,136,10.2,1015.2,Early Blight,1
24.2,64,6.5,255,9.1,1014.6,Late Blight,0
18.8,79,4.6,90,10.3,1015,Early Blight,1
26.5,59,8.8,323,9.2,1015.9,Late Blight,0
19.6,74,4.1,113,11.4,1014.1,Early Blight,1
23.9,67,1.9,221,9.4,1013.9,Late Blight,0
22.1,70,3.1,152,10.7,1015.3,Early Blight,1
25,63,7.4,269,8.6,1015.8,Late Blight,0
20.4,72,4.4,177,10.4,1014.4,Early Blight,1
24.7,65,6.9,238,8.7,1015.7,Late Blight,0
18.5,77,5,74,11.1,1015.6,Early Blight,1
25.6,61,8.3,307,8.2,1015,Late Blight,0
19.9,75,3.8,128,11,1014.3,Early Blight,1
19.1,70,6.2,156,10.2,1015.5,Early Blight,1
25.2,62,7.5,291,9.7,1016.1,Late Blight,0
21.3,73,3.6,118,11.3,1014.9,Early Blight,1
26.5,59,8.1,326,9.1,1014.8,Late Blight,0
20.4,76,4.7,89,12.1,1015.9,Early Blight,1
23.9,66,2.5,212,9.5,1014.2,Late Blight,0
18.2,72,5.8,176,10.1,1015.3,Early Blight,1
24.8,63,7,258,9.3,1015.7,Late Blight,0
20.7,75,3.8,132,11.5,1014.7,Early Blight,1
27.1,58,8.6,342,8.8,1015.2,Late Blight,0
18.5,71,5.5,160,9.9,1015.4,Early Blight,1
24.3,63,6.8,282,8.8,1016.3,Late Blight,0
20.9,74,3.1,112,11.2,1014.8,Early Blight,1
25.9,59,8.2,315,9.2,1014.9,Late Blight,0
19.8,77,4.9,96,12.4,1015.8,Early Blight,1
22.5,65,2.3,195,9.3,1014.1,Late Blight,0
18.8,72,5.2,170,10,1015.2,Early Blight,1
24.6,64,6.5,270,9.4,1015.6,Late Blight,0
20.2,76,3.4,124,11.4,1014.7,Early Blight,1
27.5,57,8.9,355,8.7,1015.1,Late Blight,0
22.1,71,4.9,203,10.4,1015.6,Early Blight,1
24.6,64,6.9,273,9.6,1016,Late Blight,0
20.5,74,3.2,121,11,1015,Early Blight,1
26,60,8,315,9.2,1014.7,Late Blight,0
21.3,75,4.5,98,12.2,1015.8,Early Blight,1
23.8,67,2.9,189,9.4,1014.1,Late Blight,0
19.7,73,5.4,157,10.3,1015.4,Early Blight,1
25,63,6.5,247,9.4,1015.8,Late Blight,0
20.9,75,3.7,128,11.4,1014.6,Early Blight,1
27.2,57,8.5,334,8.7,1015.1,Late Blight,0
23.5,68,5,198,9.8,1015.6,Early Blight,1
26.8,62,6.7,308,8.5,1016,Late Blight,0
19.6,76,4.1,92,12,1015,Early Blight,1
28.2,57,9.2,19,9,1014.7,Late Blight,0
21.1,74,3.3,124,11.7,1015.8,Early Blight,1
24.6,64,2,236,9.4,1014.1,Late Blight,0
22,71,5.6,172,10.3,1015.4,Early Blight,1
27.3,60,6.3,324,8.9,1015.1,Late Blight,0
20.9,75,3.2,136,11.6,1014.8,Early Blight,1
29.1,56,8.5,8,8.7,1015.3,Late Blight,0
23.1,70,6.1,120,10.3,1015.5,Early Blight,1
25.3,62,7.2,290,9.5,1016.1,Late Blight,0
22.1,73,3.5,110,11.4,1014.9,Early Blight,1
26.7,59,8.5,340,8.9,1014.8,Late Blight,0
20.3,76,4.6,90,12.2,1015.9,Early Blight,1
23.5,66,2.4,210,9.6,1014.2,Late Blight,0
18.1,72,5.9,170,10.2,1015.3,Early Blight,1
24.9,63,7.1,260,9.4,1015.7,Late Blight,0
20.6,75,3.7,130,11.6,1014.7,Early Blight,1
27.2,58,8.4,350,8.7,1015.2,Late Blight,0
23.2,71,6,130,10.4,1015.6,Early Blight,1
25.4,62,7.3,285,9.4,1016.2,Late Blight,0
22.2,73,3.6,105,11.5,1014.8,Early Blight,1
26.6,59,8.4,345,9,1014.9,Late Blight,0
20.2,76,4.5,95,12.3,1015.8,Early Blight,1
23.6,66,2.3,215,9.7,1014.3,Late Blight,0
18,72,6,160,10.1,1015.4,Early Blight,1
24.8,63,7.2,265,9.5,1015.8,Late Blight,0
20.5,75,3.6,135,11.7,1014.6,Early Blight,1
27.1,58,8.3,355,8.8,1015.3,Late Blight,0
23.3,71,5.9,135,10.5,1015.7,Early Blight,1
25.5,62,7.4,280,9.3,1016.3,Late Blight,0
22.3,73,3.7,100,11.6,1014.7,Early Blight,1
26.5,59,8.3,350,9.1,1014.7,Late Blight,0
20.1,76,4.4,100,12.4,1015.7,Early Blight,1
23.7,66,2.2,220,9.8,1014.4,Late Blight,0
18.3,72,6.1,155,10.3,1015.5,Early Blight,1
24.7,63,7.3,270,9.6,1015.9,Late Blight,0
20.4,75,3.5,140,11.8,1014.5,Early Blight,1
19.2,67,4.3,121,10.1,1015.3,Early Blight,1
26.9,60,8,298,9.2,1016.2,Late Blight,0
20.4,72,3.1,130,11.4,1014.8,Early Blight,1
28.3,56,9.3,27,8.9,1014.6,Late Blight,0
21.3,75,4.8,87,11.8,1015.9,Early Blight,1
25.1,63,1.5,240,9.6,1014,Late Blight,0
18.9,68,5.5,166,10.3,1015.1,Early Blight,1
24.7,64,6.5,273,9.4,1015.5,Late Blight,0
20.5,73,2.7,142,11.6,1014.9,Early Blight,1
27.2,59,7.7,332,8.8,1015.4,Late Blight,0
21.8,74,4.2,108,11.2,1015.2,Early Blight,1
25.9,61,2.2,212,9.8,1014.3,Late Blight,0
19.5,68,6.1,179,10.2,1015.4,Early Blight,1
26.1,63,7.2,278,9,1015.8,Late Blight,0
20.2,71,3.5,118,11.5,1014.7,Early Blight,1
29,56,9,11,8.6,1015.1,Late Blight,0
19.8,67,4.8,153,10,1015.2,Early Blight,1
27.3,58,8.3,316,8.7,1015.7,Late Blight,0
20.8,72,2.9,155,11.7,1014.6,Early Blight,1
28.9,55,9.8,2,8.5,1014.9,Late Blight,0
22.1,73,5.1,171,10.6,1015.5,Early Blight,1
25.3,62,1.8,236,9.7,1014.1,Late Blight,0
19.3,68,5.4,143,10.4,1015.3,Early Blight,1
23.5,68,5,198,9.8,1015.6,Early Blight,1
26.8,62,6.7,308,8.5,1016,Late Blight,0
19.6,76,4.1,92,12,1015,Early Blight,1
28.2,57,9.2,19,9,1014.7,Late Blight,0
21.1,74,3.3,124,11.7,1015.8,Early Blight,1
24.6,64,2,236,9.4,1014.1,Late Blight,0
22,71,5.6,172,10.3,1015.4,Early Blight,1
27.3,60,6.3,324,8.9,1015.1,Late Blight,0
20.9,75,3.2,136,11.6,1014.8,Early Blight,1
29.1,56,8.5,8,8.7,1015.3,Late Blight,0
20.1,70,6.3,162,10.4,1015.6,Early Blight,1
25.5,61,7.8,289,9.5,1016.2,Late Blight,0
21.8,73,4,120,11.1,1015,Early Blight,1
26.9,58,8.8,335,8.7,1014.9,Late Blight,0
20.7,75,4.9,93,12.3,1015.9,Early Blight,1
24.3,65,2.8,204,9.3,1014.3,Late Blight,0
18.7,71,6,179,10.2,1015.4,Early Blight,1
25.1,63,7.3,257,9.1,1015.8,Late Blight,0
20.3,74,3.6,129,11.7,1014.8,Early Blight,1
27.5,57,9.5,10,8.5,1015.3,Late Blight,0
21.4,70,6.4,164,10.5,1015.6,Early Blight,1
26.2,61,7.4,291,9.6,1016.1,Late Blight,0
22.3,73,3.8,119,11.2,1014.9,Early Blight,1
26.7,58,8.6,328,8.9,1014.8,Late Blight,0
20.1,75,4.6,96,12.2,1015.9,Early Blight,1
24.1,65,2.3,224,9.4,1014.2,Late Blight,0
18.9,72,5.9,181,10.1,1015.3,Early Blight,1
25.2,63,7.1,262,9.2,1015.7,Late Blight,0
20.5,74,3.9,130,11.6,1014.7,Early Blight,1
27.8,57,9.1,14,8.6,1015.2,Late Blight,0
21.9,70,6.2,161,10.6,1015.6,Early Blight,1
26.4,61,7.7,290,9.4,1016,Late Blight,0
22.4,73,3.9,118,11.1,1015,Early Blight,1
27.1,58,8.4,330,8.8,1014.7,Late Blight,0
20.8,75,3.5,136,11.4,1015,Early Blight,1
24.5,65,2.1,230,9.5,1014.4,Late Blight,0
18.8,71,6.1,175,10.3,1015.5,Early Blight,1
25,63,7.2,259,9.3,1015.9,Late Blight,0
20.2,74,3.7,126,11.8,1014.8,Early Blight,1
19.2,72,5.5,155,9.5,1015.4,Early Blight,1
25.8,63,6.8,296,8.3,1016.2,Late Blight,0
21.5,74,3.8,114,11.1,1014.8,Early Blight,1
26.9,58,9.1,332,8.6,1014.5,Late Blight,0
20.8,77,4.5,91,11.9,1015.7,Early Blight,1
23.6,66,2.8,205,9.3,1014.3,Late Blight,0
18.8,71,5.2,179,9.9,1015.2,Early Blight,1
25.1,64,6.4,261,8.9,1015.8,Late Blight,0
20.5,76,3.5,130,11.4,1014.9,Early Blight,1
27.5,57,8.8,350,8.5,1015.1,Late Blight,0
22.6,72,4.9,142,10.6,1015.1,Early Blight,1
27.2,59,7.2,319,9.1,1015.9,Late Blight,0
20.9,75,3.6,136,11.5,1014.7,Early Blight,1
24.9,65,5.9,276,9.2,1015.5,Late Blight,0
21.1,74,4.2,124,11.2,1014.9,Early Blight,1
25.5,62,7.1,283,8.7,1015.6,Late Blight,0
19.4,73,4.7,161,10.1,1015.1,Early Blight,1
26.1,63,6.5,302,8.4,1016,Late Blight,0
22,73,3.9,118,11,1014.7,Early Blight,1
27.3,59,8.3,338,8.8,1015.3,Late Blight,0
19.9,75,4,105,11.8,1015.6,Early Blight,1
23.9,66,2.3,215,9.6,1014.1,Late Blight,0
18.3,72,5.9,171,10,1015.5,Early Blight,1
24.8,64,6.2,267,9,1015.9,Late Blight,0
21.4,74,4,120,11.1,1015,Early Blight,1
26.5,58,9,326,8.7,1014.6,Late Blight,0
20.6,76,3.9,131,11.3,1014.8,Early Blight,1
25.7,62,7.2,292,8.5,1015.7,Late Blight,0
22.3,72,4.6,148,10.5,1015.2,Early Blight,1
21.5,73,5.3,167,10,1015.3,Early Blight,1
25.6,62,6.9,299,9.6,1015.7,Late Blight,0
19.7,77,4.2,105,11.9,1014.9,Early Blight,1
26.8,58,8.7,33,8.8,1014.5,Late Blight,0
20.9,75,3.5,129,11.5,1015.1,Early Blight,1
24,66,2.3,205,9.4,1014.3,Late Blight,0
22.1,71,5.7,176,10.2,1015.4,Early Blight,1
27.4,59,6.5,315,8.9,1015,Late Blight,0
20.8,76,3.4,140,11.7,1014.7,Early Blight,1
29.2,56,8.3,15,8.6,1015.2,Late Blight,0
22.7,70,5.9,181,10.5,1015.3,Early Blight,1
25.3,63,7.3,281,9.8,1015.9,Late Blight,0
19.5,75,4,97,12.2,1014.8,Early Blight,1
26.4,59,8,337,8.7,1014.6,Late Blight,0
20.6,77,3.3,118,11.6,1014.6,Early Blight,1
24.8,64,1.8,224,9.3,1014,Late Blight,0
22.3,71,5.5,161,10.4,1015.1,Early Blight,1
27.7,58,6.1,304,8.8,1014.8,Late Blight,0
20.5,75,3.1,148,11.8,1014.9,Early Blight,1
28.8,57,9,26,8.9,1015.5,Late Blight,0
22.9,70,5.8,190,10.6,1015.2,Early Blight,1
25,63,7.1,266,9.7,1015.5,Late Blight,0
19.9,74,4.3,82,12.1,1015,Early Blight,1
26.1,60,8.3,346,8.6,1014.4,Late Blight,0
21.3,72,5.1,152,10.1,1015.6,Early Blight,1
25.7,62,6.8,285,9.5,1016,Late Blight,0
19,78,4.4,115,12.4,1014.8,Early Blight,1
26.9,57,8.8,44,8.7,1014.6,Late Blight,0
20.3,76,3.7,106,11.4,1015.2,Early Blight,1
22.5,67,5.2,172,9.6,1015.3,Early Blight,1
27.3,61,7.9,290,8.2,1016.2,Late Blight,0
18.7,74,3.8,110,11.9,1015.1,Early Blight,1
28.5,56,9.5,14,8.5,1014.8,Late Blight,0
20.6,73,4.5,90,12.3,1015.7,Early Blight,1
24.1,65,2.3,200,9.3,1014,Late Blight,0
21.5,70,5.8,168,10.2,1015.5,Early Blight,1
26.8,62,6.5,312,8.8,1015,Late Blight,0
20.3,75,3.6,128,11.7,1014.9,Early Blight,1
28.9,55,8.2,21,8.9,1015.4,Late Blight,0
24.8,68,6.1,180,9.7,1015.8,Early Blight,1
27.7,60,7.2,285,8.6,1016.1,Late Blight,0
19.8,72,4.3,102,12.1,1015.2,Early Blight,1
26.2,63,2.8,225,9.1,1014.3,Late Blight,0
22.3,69,5.3,160,10,1015.6,Early Blight,1
27.1,59,6.8,330,8.7,1015.3,Late Blight,0
21.1,74,3.5,132,11.8,1014.8,Early Blight,1
24.4,66,2.1,220,9.4,1014.1,Late Blight,0
22,71,5.5,178,10.4,1015.4,Early Blight,1
27.9,58,7.8,302,8.3,1015.8,Late Blight,0
18.9,73,3.9,98,12.2,1015.3,Early Blight,1
26,64,2.5,214,9.2,1014.2,Late Blight,0
20.9,76,4,126,11.6,1015.1,Early Blight,1
29.5,54,9.8,5,8.4,1014.9,Late Blight,0
21.8,68,5.6,164,9.9,1015.5,Early Blight,1
27.5,60,7,298,8.5,1016,Late Blight,0
19.4,72,4.1,96,12,1015,Early Blight,1
25.8,63,3.1,230,9,1014.4,Late Blight,0
23,69,5,150,10.1,1015.7,Early Blight,1
20.1,68,4.8,178,10,1015.2,Early Blight,1
25.2,61,7.2,302,9.4,1015.6,Late Blight,0
22,71,5.5,145,10.2,1014.8,Early Blight,1
27.4,58,8.9,27,8.8,1014.9,Late Blight,0
19.8,75,4.3,103,11.8,1015.1,Early Blight,1
23.9,65,2.8,201,9.6,1014.5,Late Blight,0
20.5,72,5.3,166,10.5,1015,Early Blight,1
26.1,60,6.5,286,9.2,1015.4,Late Blight,0
21.5,74,3.6,129,11.4,1014.9,Early Blight,1
28.3,56,8.3,3,8.6,1015.2,Late Blight,0
20.9,69,4.5,185,10.1,1015.1,Early Blight,1
24.8,62,6.9,272,9.1,1015.5,Late Blight,0
22.2,71,5.7,156,10.3,1014.9,Early Blight,1
26.5,59,8,320,9,1014.7,Late Blight,0
20.2,74,4.1,95,11.9,1015.3,Early Blight,1
24,64,2.4,225,9.5,1014.3,Late Blight,0
21.1,72,5.2,176,10.4,1014.8,Early Blight,1
27.1,57,9.1,12,9,1014.8,Late Blight,0
19.5,75,4,112,11.7,1015.2,Early Blight,1
23.8,66,2.6,215,9.7,1014.4,Late Blight,0
20.8,70,4.6,167,10.2,1015,Early Blight,1
26.2,61,6.6,294,9.3,1015.3,Late Blight,0
22.3,71,5.8,136,10.3,1015,Early Blight,1
28.4,55,8.4,1,8.5,1015.3,Late Blight,0
20.6,69,4.4,192,10,1015.1,Early Blight,1
24.9,62,7.1,258,9.2,1015.6,Late Blight,0
21.9,72,5.4,153,10.4,1014.9,Early Blight,1
27.8,57,9.4,34,8.7,1014.9,Late Blight,0
19.9,75,4.2,99,11.8,1015.1,Early Blight,1
